case_name,repetition,experiment_type,prompt_tokens,output_tokens,ttft_ms,total_latency_ms,decode_latency_ms,tpot_ms,decode_tokens_per_second,approximate_prefill_tokens_per_second,run_id,timestamp_utc,backend_name,process_rss_mb,process_memory_delta_mb,process_cpu_percent,param_target_prompt_tokens,param_actual_prompt_tokens,backend_backend,backend_runtime,backend_model_name,backend_device,backend_num_threads,backend_compile_model,backend_use_kv_cache,backend_attention_backend,backend_flash_attention,backend_torch_version,generation_use_kv_cache,generation_attention_backend,generation_flash_attention,generation_eos_reached
prompt_length_32,1,prompt_length,32,16,3.694700018968433,55.30500004533678,51.61030002636835,3.4406866684245565,290.63965898931633,8661.054980299716,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:39.735226+00:00,PyTorchBackend,402.46484375,8.3046875,1196.8,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_32,2,prompt_length,32,16,3.3367000287398696,61.115399992559105,57.778699963819236,3.8519133309212825,259.6112409831466,9590.31370047521,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:39.796523+00:00,PyTorchBackend,402.48828125,0.0234375,793.7,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_32,3,prompt_length,32,16,2.8911999543197453,51.33479996584356,48.44360001152381,3.2295733341015875,309.63842481631804,11068.068796898244,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:39.850441+00:00,PyTorchBackend,402.5078125,0.01953125,1033.3,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_64,1,prompt_length,64,16,3.1190000008791685,60.55420002667233,57.435200025793165,3.8290133350528777,261.1638854441833,20519.397236922086,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:39.993925+00:00,PyTorchBackend,424.79296875,0.015625,1016.9,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_64,2,prompt_length,64,16,3.3056000247597694,64.7966000251472,61.49100000038743,4.099400000025828,243.9381372868467,19361.084075697006,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:40.060301+00:00,PyTorchBackend,424.8125,0.01953125,982.9,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_64,3,prompt_length,64,16,3.428200026974082,70.82299998728558,67.3947999603115,4.4929866640207665,222.56910041773895,18668.688961095984,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:40.134887+00:00,PyTorchBackend,424.6015625,-0.2109375,1181.9,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_128,1,prompt_length,128,16,5.187900038436055,89.73780000815168,84.54989996971563,5.636659997981042,177.41002656860329,24672.796131705516,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:40.329343+00:00,PyTorchBackend,452.625,0.046875,980.7,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_128,2,prompt_length,128,16,4.450000007636845,78.98420002311468,74.53420001547784,4.968946667698522,201.24989597909533,28764.044894456954,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:40.409689+00:00,PyTorchBackend,452.64453125,0.01953125,881.0,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_128,3,prompt_length,128,16,4.127099993638694,75.3270999994129,71.2000000057742,4.746666667051613,210.67415728628546,31014.513871069954,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:40.489019+00:00,PyTorchBackend,452.66015625,0.015625,881.4,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
prompt_length_256,1,prompt_length,256,16,7.935999950859696,137.35049997922033,129.41450002836064,8.627633335224042,115.90664103877707,32258.064715873377,d14f215c-5b93-4dd4-8ba4-a3ac11cd12c1,2026-08-20T17:42:40.801629+00:00,PyTorchBackend,499.203125,0.06640625,904.0,256,256,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,False,torch_default,False,2.13.0+cpu,False,torch_default,False,False
